dataset_id,indicator_id,year,territory,sex,age_group,unemployment_rate,unit,source,notes
labour_market_istat_lfs,youth_unemployment_rate,2018,Bergamo,Female,15-24,13.0,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2019,Bergamo,Female,15-24,14.1,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2020,Bergamo,Female,15-24,14.2,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2021,Bergamo,Female,15-24,12.8,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2022,Bergamo,Female,15-24,16.8,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2023,Bergamo,Female,15-24,14.2,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2024,Bergamo,Female,15-24,3.4,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2025,Bergamo,Female,15-24,1.1,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2018,Bergamo,Male,15-24,18.7,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2019,Bergamo,Male,15-24,12.8,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2020,Bergamo,Male,15-24,11.0,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2021,Bergamo,Male,15-24,10.4,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2022,Bergamo,Male,15-24,10.2,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2023,Bergamo,Male,15-24,11.4,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2024,Bergamo,Male,15-24,3.5,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2025,Bergamo,Male,15-24,4.7,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2018,Bergamo,Female,15-34,10.6,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2019,Bergamo,Female,15-34,6.1,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2020,Bergamo,Female,15-34,7.9,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2021,Bergamo,Female,15-34,5.0,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
labour_market_istat_lfs,youth_unemployment_rate,2022,Bergamo,Female,15-34,7.1,%,ISTAT labour market indicators / unemployment rates,Unemployment rate by age group; no Total sex computed because denominators are not available in the source file. Missing source combinations: Bergamo/Male/25-34/2025
