dataset_id,year,territory,sex,age,age_group,population,source,notes
population_current_istat,2019,Bergamo,Female,0,0-14,4093,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,1,0-14,4441,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,2,0-14,4521,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,3,0-14,4603,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,4,0-14,4906,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,5,0-14,4883,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,6,0-14,5196,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,7,0-14,5465,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,8,0-14,5573,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,9,0-14,5797,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,10,0-14,5700,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,11,0-14,5671,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,12,0-14,5573,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,13,0-14,5517,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,14,0-14,5572,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,15,15-24,5575,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,16,15-24,5421,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,17,15-24,5417,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,18,15-24,5626,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,19,15-24,5453,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,20,15-24,5361,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,21,15-24,5358,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,22,15-24,5337,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,23,15-24,5350,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,24,15-24,5224,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,25,25-34,5250,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,26,25-34,5436,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,27,25-34,5622,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,28,25-34,5652,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,29,25-34,5694,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,30,25-34,5960,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,31,25-34,5809,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,32,25-34,5792,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,33,25-34,6178,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,34,25-34,6357,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,35,35-64,6533,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,36,35-64,6569,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,37,35-64,6684,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,38,35-64,6963,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,39,35-64,7166,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,40,35-64,7656,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,41,35-64,7803,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,42,35-64,7974,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,43,35-64,8627,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,44,35-64,8640,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,45,35-64,8832,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,46,35-64,8685,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,47,35-64,8640,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,48,35-64,8714,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,49,35-64,8857,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,50,35-64,8927,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,51,35-64,9083,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,52,35-64,9239,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,53,35-64,9162,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,54,35-64,9215,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,55,35-64,8708,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,56,35-64,8279,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,57,35-64,7905,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,58,35-64,7745,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,59,35-64,7515,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,60,35-64,7260,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,61,35-64,6835,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,62,35-64,6977,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,63,35-64,6747,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,64,35-64,6499,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,65,65+,6364,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,66,65+,6256,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,67,65+,6365,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,68,65+,6601,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,69,65+,6530,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,70,65+,6650,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,71,65+,6100,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,72,65+,6244,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,73,65+,4761,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,74,65+,5089,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,75,65+,4966,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,76,65+,5145,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,77,65+,4988,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,78,65+,5533,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,79,65+,5047,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,80,65+,4981,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,81,65+,4326,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,82,65+,3857,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,83,65+,3932,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,84,65+,3562,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,85,65+,3276,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,86,65+,3109,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,87,65+,2810,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,88,65+,2627,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,89,65+,2206,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,90,65+,1903,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,91,65+,1648,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,92,65+,1225,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,93,65+,1044,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,94,65+,891,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,95,65+,632,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,96,65+,412,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,97,65+,355,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,98,65+,208,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,99,65+,104,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Female,100,65+,160,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,0,0-14,4355,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,1,0-14,4627,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,2,0-14,4885,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,3,0-14,4927,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,4,0-14,5109,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,5,0-14,5417,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,6,0-14,5576,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,7,0-14,5750,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,8,0-14,5862,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,9,0-14,6008,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,10,0-14,5975,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,11,0-14,5869,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,12,0-14,6049,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,13,0-14,5868,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,14,0-14,5816,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,15,15-24,5868,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,16,15-24,5846,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,17,15-24,5927,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
population_current_istat,2019,Bergamo,Male,18,15-24,5946,ISTAT Demo / PPC,Population at 1 January; Total computed from Male and Female rows.
